year,city,country,city_avg_temp,10-day_Mov_Avg,global_avg_temp,10-day_Mov_Avg
1849,Lagos,Nigeria,25.98,,7.98,
1850,Lagos,Nigeria,25.87,,7.9,
1851,Lagos,Nigeria,26.1,,8.18,
1856,Lagos,Nigeria,26.35,,8,
1857,Lagos,Nigeria,25.45,,7.76,
1858,Lagos,Nigeria,25.92,,8.1,
1859,Lagos,Nigeria,26.18,,8.25,
1860,Lagos,Nigeria,26.01,,7.96,
1861,Lagos,Nigeria,25.95,,7.85,
1862,Lagos,Nigeria,25.9,25.971,7.56,7.954
1873,Lagos,Nigeria,26.46,26.019,8.35,7.991
1874,Lagos,Nigeria,26.08,26.04,8.43,8.044
1875,Lagos,Nigeria,25.82,26.012,7.86,8.012
1876,Lagos,Nigeria,25.82,25.959,8.08,8.02
1877,Lagos,Nigeria,26.35,26.049,8.54,8.098
1878,Lagos,Nigeria,26.26,26.083,8.83,8.171
1879,Lagos,Nigeria,25.67,26.032,8.17,8.163
1880,Lagos,Nigeria,26.14,26.045,8.12,8.179
1881,Lagos,Nigeria,26.39,26.089,8.27,8.221
1882,Lagos,Nigeria,26.01,26.1,8.13,8.278
1883,Lagos,Nigeria,26.42,26.096,7.98,8.241
1884,Lagos,Nigeria,26.43,26.131,7.77,8.175
1885,Lagos,Nigeria,26.01,26.15,7.92,8.181
1886,Lagos,Nigeria,25.87,26.155,7.95,8.168
1887,Lagos,Nigeria,25.09,26.029,7.91,8.105
1888,Lagos,Nigeria,25.42,25.945,8.09,8.031
1889,Lagos,Nigeria,25.34,25.912,8.32,8.046
1890,Lagos,Nigeria,24.86,25.784,7.97,8.031
1891,Lagos,Nigeria,25.29,25.674,8.02,8.006
1892,Lagos,Nigeria,25.49,25.622,8.07,8
1893,Lagos,Nigeria,25.67,25.547,8.06,8.008
1894,Lagos,Nigeria,25.59,25.463,8.16,8.047
1895,Lagos,Nigeria,25.92,25.454,8.15,8.07
1896,Lagos,Nigeria,25.87,25.454,8.21,8.096
1897,Lagos,Nigeria,26.29,25.574,8.29,8.134
1898,Lagos,Nigeria,25.79,25.611,8.18,8.143
1899,Lagos,Nigeria,26.31,25.708,8.4,8.151
1900,Lagos,Nigeria,26.42,25.864,8.5,8.204
1901,Lagos,Nigeria,26.53,25.988,8.54,8.256
1902,Lagos,Nigeria,26.09,26.048,8.3,8.279
1903,Lagos,Nigeria,25.68,26.049,8.22,8.295
1904,Lagos,Nigeria,25.48,26.038,8.09,8.288
1905,Lagos,Nigeria,26.16,26.062,8.23,8.296
1906,Lagos,Nigeria,26.21,26.096,8.38,8.313
1907,Lagos,Nigeria,25.96,26.063,7.95,8.279
1908,Lagos,Nigeria,26.15,26.099,8.19,8.28
1909,Lagos,Nigeria,26.08,26.076,8.18,8.258
1910,Lagos,Nigeria,26.13,26.047,8.22,8.23
1911,Lagos,Nigeria,25.72,25.966,8.18,8.194
1912,Lagos,Nigeria,26.17,25.974,8.17,8.181
1913,Lagos,Nigeria,26.65,26.071,8.3,8.189
1914,Lagos,Nigeria,26.75,26.198,8.59,8.239
1915,Lagos,Nigeria,26.81,26.263,8.59,8.275
1916,Lagos,Nigeria,26.6,26.302,8.23,8.26
1917,Lagos,Nigeria,26.96,26.402,8.02,8.267
1918,Lagos,Nigeria,26.41,26.428,8.13,8.261
1919,Lagos,Nigeria,26.7,26.49,8.38,8.281
1920,Lagos,Nigeria,26.72,26.549,8.36,8.295
1921,Lagos,Nigeria,26.77,26.654,8.57,8.334
